idx,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_universitypast_failures
432,16,2,2,3,2,3,4,5.0,1.0,2.0,1,0,0,0,1,1,-10
433,16,2,3,2,3,3,2,3.0,2.0,2.0,1,1,1,0,1,0,10
434,17,1,2,2,2,3,2,2.0,1.0,2.0,3,0,0,0,1,0,10
435,1990,4,3,1,2,4,3,5.0,1.0,5.0,2,0,1,0,1,1,10
436,16,3,3,1,2,4,5,5.0,4.0,4.0,5,1,1,0,1,1,11
437,1988,3,2,2,3,3,3,2.0,1.0,1.0,2,0,0,1,0,0,-12
438,17,3,2,1,2,4,4,4.0,1.0,2.0,5,1,1,1,0,1,10
439,16,1,2,1,3,4,3,4.0,1.0,1.0,3,0,0,0,1,0,10
440,18,4,3,2,1,4,2,3.0,1.0,2.0,1,1,1,1,1,1,10
441,15,1,1,3,1,5,5,5.0,1.0,1.0,1,0,0,0,1,1,11
442,17,3,1,1,1,4,1,2.0,1.0,1.0,3,0,1,0,1,1,11
443,17,1,2,2,2,4,4,4.0,4.0,5.0,5,1,1,0,1,0,10
444,16,4,4,1,2,4,3,3.0,2.0,3.0,2,0,0,0,1,0,10
445,16,2,3,2,1,5,3,3.0,1.0,1.0,3,1,1,0,1,1,10
446,15,3,4,1,2,5,5,1.0,1.0,1.0,5,1,1,0,1,1,10
447,1988,2,1,2,2,4,3,5.0,1.0,2.0,3,0,0,0,1,1,-10
448,16,1,2,1,1,5,3,5.0,1.0,2.0,5,0,1,0,1,1,-10
449,18,2,2,1,4,4,5,5.0,2.0,4.0,5,1,1,1,1,1,10
450,15,2,1,2,1,1,3,4.0,1.0,1.0,1,0,0,1,1,1,-10
451,15,4,4,1,2,4,3,3.0,1.0,1.0,5,1,1,0,1,1,10
452,19,0,1,1,2,3,4,2.0,1.0,1.0,5,0,1,0,1,0,-12
453,18,3,3,2,2,4,3,2.0,1.0,3.0,3,0,1,0,1,1,10
454,17,4,3,2,2,5,5,4.0,1.0,1.0,1,0,1,0,1,1,10
455,18,3,3,1,2,4,1,4.0,1.0,1.0,3,0,1,0,1,1,10
456,17,2,3,2,2,4,2,1.0,1.0,1.0,3,0,1,0,1,1,10
457,15,4,2,1,1,2,2,4.0,2.0,4.0,1,1,1,0,1,1,10
458,17,2,2,2,2,4,5,2.0,1.0,1.0,1,1,0,0,1,1,10
459,15,4,4,1,3,4,3,3.0,1.0,1.0,5,0,1,0,1,1,10
460,17,1,1,1,3,4,3,3.0,1.0,1.0,3,0,1,0,1,1,10
461,16,4,1,1,2,5,3,3.0,1.0,2.0,5,0,1,0,0,1,10
462,18,2,2,3,2,4,3,3.0,1.0,1.0,4,0,0,0,1,1,11
463,15,1,1,2,2,5,4,3.0,1.0,2.0,4,0,0,1,1,1,10
464,15,1,1,1,2,4,4,2.0,1.0,2.0,5,0,1,0,1,1,10
465,18,2,2,1,2,4,3,3.0,1.0,1.0,2,0,1,1,1,0,10
466,18,2,4,2,2,4,3,3.0,1.0,1.0,3,0,1,1,0,1,11
467,16,2,2,2,4,1,2,1.0,1.0,1.0,1,0,1,1,0,0,-10
468,18,2,2,1,2,4,4,4.0,2.0,4.0,5,1,1,0,1,1,10
469,17,4,4,2,1,4,1,1.0,2.0,2.0,5,1,1,1,1,1,10
470,15,1,1,1,2,3,3,4.0,2.0,4.0,5,0,0,0,1,0,10
471,17,2,2,3,1,4,4,5.0,1.0,2.0,5,1,0,0,1,0,11
472,16,2,2,3,2,4,4,5.0,1.0,1.0,4,0,0,0,1,1,10
473,16,2,2,3,1,4,3,2.0,1.0,1.0,4,0,0,1,1,1,10
474,15,3,1,2,1,3,2,3.0,1.0,3.0,4,1,1,0,1,1,10
475,16,2,3,2,2,3,3,3.0,1.0,1.0,2,0,0,0,1,1,10
476,20,3,2,1,1,5,5,3.0,1.0,1.0,5,1,1,0,0,1,12
477,17,1,2,1,1,3,5,5.0,1.0,3.0,1,0,0,0,1,1,10
478,15,3,2,1,2,4,2,2.0,1.0,1.0,1,1,1,1,0,1,10
479,16,1,2,2,1,4,4,5.0,3.0,5.0,5,1,1,1,1,0,12
480,18,3,3,2,1,4,1,1.0,1.0,1.0,3,0,1,0,1,1,-11
481,17,4,2,2,2,4,3,3.0,2.0,3.0,5,0,0,0,1,0,10
482,15,1,2,1,2,4,3,2.0,1.0,,5,0,1,0,1,0,10
483,19,1,1,2,2,1,1,4.0,4.0,1.0,1,0,1,0,1,1,11
484,19,1,1,3,2,5,3,4.0,1.0,1.0,4,0,1,1,0,0,12
485,15,1,2,3,2,5,5,5.0,1.0,3.0,5,1,0,0,1,1,10
486,16,2,2,2,2,5,4,4.0,2.0,4.0,5,1,1,1,1,1,10
487,15,1,1,1,1,4,1,3.0,1.0,1.0,2,0,0,0,1,1,11
488,16,4,4,1,3,4,4,3.0,1.0,1.0,4,1,1,0,1,1,10
489,17,1,2,1,1,5,5,1.0,1.0,1.0,3,0,1,1,1,1,10
490,16,3,3,1,1,4,3,2.0,3.0,4.0,5,1,0,0,1,1,10
491,16,4,4,1,1,3,3,2.0,2.0,1.0,5,1,1,0,1,1,-10
492,18,4,2,2,1,5,4,3.0,4.0,3.0,3,1,0,0,1,1,11
493,16,3,3,1,2,2,3,5.0,1.0,4.0,3,0,1,1,0,1,10
494,16,2,3,2,2,4,5,2.0,1.0,2.0,5,0,0,0,1,1,10
495,17,3,1,2,3,4,2,3.0,2.0,2.0,3,0,0,1,0,1,-10
496,17,3,3,1,1,4,2,5.0,2.0,5.0,5,0,1,0,1,1,10
497,16,2,2,1,2,5,4,4.0,1.0,1.0,5,0,1,0,1,1,10
498,19,1,1,50,2,5,4,4.0,3.0,3.0,2,1,0,0,1,1,11
499,16,4,4,2,3,2,4,3.0,1.0,1.0,5,1,0,0,0,1,10
500,18,3,2,2,1,4,4,5.0,2.0,4.0,5,1,1,0,1,1,-10
501,19,1,1,2,1,4,3,2.0,1.0,3.0,5,1,0,0,1,1,11
502,17,2,2,1,3,3,3,2.0,2.0,2.0,3,0,0,1,1,1,10
503,17,4,4,1,2,5,3,5.0,4.0,5.0,3,1,1,1,1,1,10
504,15,2,2,2,3,5,3,2.0,1.0,1.0,4,0,1,0,1,1,10
505,15,1,1,3,1,4,3,3.0,1.0,2.0,4,0,1,0,1,0,10
506,15,3,4,1,2,5,4,4.0,1.0,1.0,1,1,1,0,0,1,10
507,17,3,1,1,2,4,5,4.0,2.0,3.0,1,0,0,0,1,0,10
508,16,2,1,3,1,4,3,3.0,1.0,1.0,4,1,1,0,1,1,10
509,16,2,1,4,1,3,2,1.0,1.0,1.0,2,1,1,0,1,1,10
510,16,4,2,1,1,4,3,3.0,3.0,4.0,3,1,0,0,1,1,10
511,17,4,1,2,1,4,5,4.0,2.0,4.0,5,1,1,1,0,1,10
512,16,2,2,1,2,4,3,5.0,2.0,4.0,4,1,1,0,1,1,-10
513,17,2,3,2,2,4,4,3.0,1.0,1.0,3,1,1,0,1,1,10
514,17,2,2,1,1,5,3,2.0,1.0,2.0,3,0,0,0,1,1,10
515,20,2,1,2,2,1,2,3.0,1.0,2.0,2,0,0,0,1,1,-10
516,18,1,1,1,1,2,3,5.0,2.0,5.0,4,1,1,1,1,1,-12
517,17,4,4,1,2,4,5,5.0,1.0,3.0,2,1,1,0,1,1,10
518,16,4,4,1,2,4,2,4.0,2.0,4.0,1,1,1,0,1,1,10
519,16,3,3,1,3,5,3,3.0,1.0,1.0,5,1,1,0,1,1,10
520,16,2,1,2,2,4,2,2.0,1.0,4.0,5,1,1,0,1,0,10
521,17,1,1,1,1,5,4,4.0,2.0,2.0,5,0,0,0,1,0,-11
522,1991,4,3,1,2,5,2,2.0,1.0,1.0,5,0,1,1,0,1,10
523,16,2,2,2,2,4,4,4.0,2.0,3.0,5,0,0,0,1,0,11
524,15,4,4,2,2,4,4,3.0,1.0,1.0,2,1,1,0,1,1,10
525,17,3,3,1,2,4,3,4.0,2.0,3.0,4,1,1,0,1,1,10
526,16,2,4,2,2,4,2,2.0,1.0,2.0,5,0,1,1,1,1,10
527,18,1,1,2,1,3,2,3.0,1.0,1.0,2,0,0,0,1,0,-11
528,15,1,2,1,2,3,2,3.0,1.0,2.0,1,0,1,0,1,0,10
529,15,4,4,1,1,4,3,3.0,1.0,3.0,5,1,1,1,1,1,10
530,18,1,1,1,3,4,4,3.0,2.0,3.0,3,0,1,1,1,0,10
531,16,3,4,1,2,5,3,3.0,1.0,1.0,5,1,1,1,0,1,10
532,16,1,3,2,1,4,3,3.0,1.0,3.0,5,0,1,0,1,1,-10
533,15,2,3,2,1,3,5,1.0,1.0,1.0,5,0,1,0,1,1,10
534,16,4,4,1,2,4,3,4.0,1.0,2.0,3,0,1,0,1,1,10
535,16,1,1,3,2,5,3,2.0,1.0,1.0,1,0,0,1,1,1,10
536,16,2,1,1,2,4,3,5.0,1.0,1.0,5,0,1,0,1,1,10
537,18,4,4,1,1,4,2,5.0,3.0,4.0,5,1,1,1,1,1,10
538,17,4,2,2,3,4,3,3.0,1.0,1.0,3,0,1,0,1,1,10
539,19,2,3,2,1,2,2,3.0,3.0,4.0,5,0,1,1,0,1,-11
540,15,4,1,1,2,5,3,4.0,1.0,2.0,2,1,0,1,1,1,10
541,17,4,3,1,3,4,2,2.0,1.0,2.0,3,0,1,0,1,1,10
542,15,1,2,1,2,4,3,2.0,1.0,1.0,5,1,1,1,1,1,10
543,16,3,2,2,3,5,3,3.0,1.0,3.0,2,1,1,0,1,1,10
544,17,1,2,1,2,3,5,2.0,2.0,2.0,1,1,0,0,1,0,10
545,16,1,2,1,2,4,4,5.0,1.0,3.0,3,0,0,1,1,1,-10
546,16,2,2,1,2,4,4,4.0,1.0,1.0,3,1,1,1,1,1,10
547,15,2,3,1,3,5,3,2.0,1.0,2.0,5,1,1,0,1,0,10
548,1990,2,1,1,2,3,2,2.0,1.0,1.0,3,0,1,1,1,1,10
549,15,4,4,1,1,3,3,4.0,2.0,3.0,5,0,1,0,1,1,10
550,16,4,1,2,2,1,2,4.0,2.0,2.0,1,0,1,1,1,1,10
551,16,2,2,1,4,5,2,3.0,1.0,3.0,3,0,1,0,1,1,10
552,18,2,2,1,2,5,3,1.0,1.0,1.0,5,0,1,1,1,0,11
553,16,3,3,1,2,4,3,2.0,1.0,2.0,5,0,1,0,1,1,10
554,18,3,2,1,2,3,1,2.0,1.0,2.0,1,0,1,0,1,0,10
555,18,4,3,1,3,5,4,5.0,2.0,3.0,5,1,1,0,1,1,10
556,18,3,3,1,2,4,4,5.0,1.0,3.0,3,1,1,0,1,1,-12
557,1989,2,2,1,1,1,2,1.0,2.0,3.0,5,1,1,0,1,1,11
558,16,3,3,3,2,5,3,2.0,1.0,1.0,4,0,1,0,1,1,10
559,15,1,1,1,2,4,3,2.0,2.0,3.0,3,0,1,1,1,1,10
560,16,2,1,1,2,5,3,4.0,1.0,1.0,2,0,1,0,0,1,10
561,17,4,3,1,3,4,4,3.0,1.0,3.0,4,0,1,0,1,1,10
562,15,4,3,1,2,4,4,4.0,2.0,4.0,2,0,1,1,1,1,10
563,19,3,2,2,1,3,2,1.0,1.0,1.0,3,1,1,0,1,1,13
564,19,3,3,1,2,4,5,3.0,1.0,2.0,5,1,0,0,1,1,10
565,18,3,3,1,4,5,3,3.0,1.0,1.0,1,0,1,1,1,1,10
566,16,1,3,1,1,5,3,3.0,1.0,4.0,2,1,1,0,1,1,-11
567,18,4,4,1,4,5,5,5.0,5.0,5.0,5,1,1,1,1,1,-10
568,22,3,1,1,1,5,4,5.0,5.0,5.0,1,1,1,0,1,0,-13
569,19,3,2,1,2,3,3,3.0,4.0,3.0,3,0,0,0,1,1,-11
570,17,2,1,2,2,4,3,4.0,2.0,2.0,1,0,1,0,1,1,10
571,16,3,1,1,1,5,3,2.0,2.0,2.0,5,1,1,0,1,1,10
572,16,3,4,3,1,3,4,5.0,2.0,4.0,2,1,1,0,1,0,11
573,19,2,2,1,3,5,4,5.0,1.0,1.0,1,0,1,1,1,1,10
574,18,4,2,1,2,4,3,2.0,1.0,4.0,5,1,1,0,1,1,10
575,15,3,4,1,1,5,5,5.0,3.0,2.0,5,1,1,0,1,1,10
576,18,3,3,1,2,4,3,3.0,1.0,3.0,5,1,0,1,1,1,10
577,17,4,4,1,3,4,4,2.0,1.0,2.0,4,1,1,1,0,1,10
578,18,4,3,1,3,5,3,2.0,1.0,2.0,4,1,0,0,1,1,10
579,17,2,1,3,1,3,2,2.0,1.0,2.0,5,0,1,1,0,1,10
580,18,1,1,2,1,5,3,3.0,2.0,3.0,5,1,0,0,1,1,-11
581,16,2,1,1,1,4,5,2.0,1.0,1.0,5,0,1,0,1,1,10
582,17,3,2,1,2,4,3,3.0,2.0,3.0,2,0,0,0,0,1,10
583,17,3,4,1,2,5,4,4.0,3.0,4.0,5,1,1,0,1,0,11
584,15,2,2,1,3,4,4,3.0,2.0,2.0,5,0,0,1,1,1,10
585,17,3,4,1,3,4,4,5.0,1.0,3.0,5,0,1,0,1,1,10
586,16,3,2,2,1,4,5,5.0,2.0,,5,1,0,0,1,1,10
587,18,2,1,3,2,4,4,5.0,4.0,4.0,5,1,1,1,1,0,-11
588,18,4,4,1,2,5,4,3.0,1.0,1.0,2,1,1,1,0,1,10
589,15,2,4,1,3,4,3,2.0,1.0,1.0,5,0,0,0,1,1,10
590,15,1,1,2,1,5,2,1.0,1.0,3.0,4,0,0,1,1,1,-10
591,15,1,1,2,4,3,1,2.0,1.0,1.0,1,0,0,0,1,1,10
592,16,3,2,2,2,2,5,5.0,,1.0,1,0,1,0,0,1,12
593,15,2,2,1,3,4,5,2.0,1.0,1.0,3,1,1,0,0,1,10
594,18,3,2,2,3,5,4,2.0,1.0,1.0,4,1,0,1,1,1,10
595,19,4,2,2,2,5,4,4.0,1.0,1.0,1,1,1,0,1,1,10
596,17,2,1,1,1,5,4,5.0,1.0,2.0,5,1,1,0,1,1,10
597,17,3,2,2,2,4,4,4.0,1.0,4.0,3,1,0,0,1,1,12
598,15,2,3,1,1,3,2,2.0,1.0,3.0,3,1,1,0,1,0,10
599,17,1,1,2,3,4,3,3.0,1.0,3.0,5,0,0,1,1,1,10
600,15,4,4,1,3,4,2,2.0,1.0,1.0,5,0,1,0,1,1,10
601,16,1,2,1,3,1,3,2.0,1.0,2.0,4,0,1,0,1,1,11
602,19,4,4,2,2,2,3,4.0,2.0,3.0,2,0,1,0,1,1,10
603,15,4,3,1,2,4,5,2.0,1.0,1.0,5,1,0,0,1,1,10
604,16,3,3,1,2,4,2,3.0,1.0,2.0,3,1,1,0,1,1,10
605,15,1,2,2,1,4,4,4.0,2.0,4.0,5,1,1,1,1,1,10
606,17,3,1,2,2,5,4,4.0,1.0,1.0,5,0,0,0,1,0,13
607,16,2,2,1,1,4,4,3.0,1.0,4.0,3,0,1,0,1,0,11
608,15,2,1,2,1,4,4,2.0,1.0,1.0,5,0,1,1,0,1,-10
609,17,0,1,2,1,2,4,4.0,3.0,5.0,5,0,1,0,1,0,10
610,17,4,4,1,1,4,4,4.0,1.0,1.0,5,0,0,0,1,1,10
611,17,2,3,2,1,5,2,2.0,1.0,1.0,2,1,1,0,1,1,10
612,17,2,2,1,4,3,4,1.0,1.0,1.0,2,0,1,1,1,1,10
613,16,2,2,2,2,3,4,4.0,1.0,4.0,5,0,1,0,1,0,10
614,18,2,2,1,1,5,4,2.0,1.0,2.0,5,1,1,0,1,0,10
615,18,4,4,3,2,3,2,2.0,4.0,2.0,5,0,0,0,1,0,10
616,16,3,3,1,3,4,1,2.0,1.0,1.0,2,0,0,0,1,1,10
617,17,3,3,2,3,4,2,2.0,2.0,3.0,5,0,1,0,1,1,10
618,15,4,4,1,1,5,5,3.0,1.0,1.0,4,1,1,1,0,1,10
619,16,4,4,1,1,4,5,5.0,5.0,5.0,4,1,1,0,1,1,10
620,16,1,1,2,1,3,4,4.0,3.0,4.0,5,1,0,0,1,1,10
621,15,4,1,1,2,5,3,4.0,1.0,2.0,2,1,0,1,1,1,10
622,15,3,4,1,2,5,3,2.0,1.0,1.0,1,0,1,1,0,1,10
623,17,3,3,1,2,5,3,3.0,2.0,3.0,1,0,1,1,1,1,10
624,16,2,2,1,2,4,3,4.0,1.0,2.0,2,0,1,1,1,1,10
625,17,3,2,2,2,4,1,2.0,2.0,2.0,1,1,1,0,1,1,10
626,18,1,3,2,2,3,3,4.0,2.0,4.0,3,1,0,0,1,1,10
627,17,3,2,2,1,4,3,3.0,2.0,2.0,1,0,1,0,1,1,10
628,15,1,2,2,1,5,1,2.0,,1.0,1,0,0,0,1,1,10
629,18,4,4,1,2,4,4,4.0,,3.0,5,0,1,0,1,1,10
630,17,3,4,1,3,4,4,3.0,3.0,4.0,5,0,1,0,1,1,11
631,16,4,3,1,2,5,4,2.0,1.0,2.0,5,1,1,1,1,1,10
632,18,4,4,1,2,5,4,3.0,,4.0,2,0,0,1,1,1,10
633,17,1,2,1,1,2,2,2.0,3.0,3.0,5,1,0,1,1,1,13
634,15,4,4,2,2,4,4,4.0,2.0,3.0,5,0,1,0,1,1,10
635,18,2,2,1,2,3,2,3.0,1.0,1.0,5,0,0,0,1,1,10
636,16,4,4,1,2,4,3,1.0,1.0,1.0,3,1,1,0,1,1,10
637,18,3,2,3,1,4,4,1.0,3.0,4.0,5,1,0,1,1,0,10
638,15,4,4,1,4,1,3,3.0,5.0,5.0,3,1,1,0,0,0,10
639,17,2,1,1,1,4,4,2.0,2.0,4.0,5,1,0,0,1,0,10
640,15,2,2,1,1,4,3,1.0,1.0,1.0,2,0,0,0,1,1,10
641,17,1,4,4,1,5,5,4.0,1.0,1.0,5,0,0,1,0,1,11
642,17,3,2,1,2,4,5,4.0,1.0,2.0,5,0,0,0,1,1,11
643,15,3,3,2,1,5,4,4.0,2.0,3.0,5,0,0,0,1,1,10
644,18,2,2,4,2,4,2,5.0,1.0,1.0,2,0,1,0,1,1,10
645,15,4,4,2,2,4,3,1.0,1.0,1.0,5,1,1,0,1,1,10
646,21,1,1,2,2,5,3,3.0,5.0,2.0,4,1,0,1,1,1,-12
647,16,2,2,1,1,4,3,4.0,1.0,2.0,1,0,1,1,0,1,-10
648,16,2,3,40,2,4,5,4.0,1.0,2.0,1,0,0,0,1,1,10
